"EVENT","VALUE","TIME"
"Restart","322","257,89230"
"Fall","319","258,59560"
"Restart","323","258,61160"
"Fall","320","259,30840"
"Restart","324","259,32560"
"Fall","321","260,02940"
"Restart","325","260,04570"
"Fall","322","260,76930"
"Restart","326","260,80950"
"Fall","323","261,49130"
"Restart","327","261,50950"
"Fall","324","262,21130"
"Restart","328","262,22760"
"Fall","325","262,93000"
"Restart","329","262,94820"
"Fall","326","263,64020"
"Restart","330","263,66020"
"Fall","327","264,37280"
"Restart","331","264,39060"
"Fall","328","265,08690"
"Restart","332","265,10950"
"Fall","329","265,80680"
"Restart","333","265,82280"
"Fall","330","266,53420"
"Restart","334","266,55610"
"Fall","331","267,25570"
"Restart","335","267,27220"
"Fall","332","267,96910"
"Restart","336","267,98730"
"Fall","333","268,68970"
"Restart","337","268,71220"
"Fall","334","269,40890"
"Restart","338","269,43120"
"Fall","335","270,13110"
"Restart","339","270,14950"
"Fall","336","270,85070"
"Restart","340","270,86620"
"Fall","337","271,56470"
"Restart","341","271,58440"
"Fall","338","272,28520"
"Restart","342","272,30270"
"Fall","339","273,00480"
"Restart","343","273,02200"
"Fall","340","273,73620"
"Restart","344","273,75380"
"Fall","341","274,44670"
"Restart","345","274,49900"
"Fall","342","275,17660"
"Restart","346","275,19280"
"Fall","343","275,89290"
"Restart","347","275,91450"
"Fall","344","276,61140"
"Restart","348","276,62950"
"Fall","345","277,33370"
"Restart","349","277,34910"
"Fall","346","278,04970"
"Restart","350","278,06940"
"Fall","347","278,76720"
"Restart","351","278,78530"
"Fall","348","279,48400"
"Restart","352","279,50240"
"Fall","349","280,20110"
"Restart","353","280,22060"
"Fall","350","280,92230"
"Restart","354","280,94530"
"Fall","351","281,64270"
"Restart","355","281,66370"
"Fall","352","282,36040"
"Restart","356","282,37800"
"Fall","353","283,08590"
"Restart","357","283,10130"
"Fall","354","283,80040"
"Restart","358","283,82090"
"Fall","355","284,53430"
"Restart","359","284,55610"
"Fall","356","285,24260"
"Restart","360","285,26340"
"Fall","357","285,96400"
"Restart","361","285,99520"
"Fall","358","286,69600"
"Restart","362","286,71360"
"Fall","359","287,40180"
"Restart","363","287,42350"
"Fall","360","288,13310"
"Restart","364","288,14900"
"Fall","361","288,85470"
"Restart","365","288,87420"
"Fall","362","289,57840"
"Restart","366","289,59410"
"Fall","363","290,29330"
"Restart","367","290,31250"
"Fall","364","291,01010"
"Restart","368","291,02910"
"Fall","365","291,72900"
"Restart","369","291,75030"
"Fall","366","292,45440"
"Restart","370","292,47200"
"Fall","367","293,17370"
"Restart","371","293,19070"
"Fall","368","293,89450"
"Restart","372","293,91130"
"Fall","369","294,61440"
"Restart","373","294,62950"
"Fall","370","295,33420"
"Restart","374","295,35070"
"Fall","371","296,04070"
"Restart","375","296,05900"
"Fall","372","296,76270"
"Restart","376","296,78200"
"Fall","373","297,48430"
"Restart","377","297,50750"
"Fall","374","298,21780"
"Restart","378","298,23390"
"Fall","375","298,92180"
"Restart","379","298,94180"
"Fall","376","299,65100"
"Restart","380","299,66780"
"Fall","377","300,36870"
"Restart","381","300,38710"
"Fall","378","301,08820"
"Restart","382","301,10500"
"Fall","379","301,81610"
"Restart","383","301,83620"
"Fall","380","302,52890"
"Restart","384","302,54540"
"Fall","381","303,25270"
"Restart","385","303,26770"
"Fall","382","303,97190"
"Restart","386","303,98970"
"Fall","383","304,69460"
"Restart","387","304,71020"
"Fall","384","305,41430"
"Restart","388","305,43010"
"Fall","385","306,12040"
"Restart","389","306,13700"
"Fall","386","306,84070"
"Restart","390","306,85700"
"Fall","387","307,56340"
"Restart","391","307,58010"
"Fall","388","308,29520"
"Restart","392","308,31130"
"Fall","389","309,01310"
"Restart","393","309,03000"
"Fall","390","309,73710"
"Restart","394","309,75300"
"Fall","391","310,44130"
"Restart","395","310,46050"
"Fall","392","311,16060"
"Restart","396","311,17710"
"Fall","393","311,88020"
"Restart","397","311,89800"
"Fall","394","312,60100"
"Restart","398","312,61930"
"Fall","395","313,33050"
"Restart","399","313,34700"
"Fall","396","314,05010"
"Restart","400","314,06670"
"Fall","397","314,77300"
"Restart","401","314,79100"
"Fall","398","315,48500"
"Restart","402","315,50320"
"Fall","399","316,21160"
"Restart","403","316,22680"
"Fall","400","316,93340"
"Restart","404","316,94970"
"Fall","401","317,65350"
"Restart","405","317,67070"
"Fall","402","318,37540"
"Restart","406","318,39250"
"Fall","403","319,09440"
"Restart","407","319,11010"
"Fall","404","319,80550"
"Restart","408","319,82310"
"Fall","405","320,53480"
"Restart","409","320,55340"
"Fall","406","321,25030"
"Restart","410","321,26720"
"Fall","407","321,97360"
"Restart","411","321,99260"
"Fall","408","322,68630"
"Restart","412","322,70440"
"Fall","409","323,41200"
"Restart","413","323,42730"
"Fall","410","324,13730"
"Restart","414","324,15540"
"Fall","411","324,85150"
"Restart","415","324,86740"
"Fall","412","325,57480"
"Restart","416","325,59150"
"Fall","413","326,29870"
"Restart","417","326,31530"
"Fall","414","327,01490"
"Restart","418","327,03160"
"Fall","415","327,72030"
"Restart","419","327,73900"
"Fall","416","328,44520"
"Restart","420","328,46160"
"Fall","417","329,16660"
"Restart","421","329,18260"
"Fall","418","329,88390"
"Restart","422","329,90120"
"Fall","419","330,60850"
"Restart","423","330,62460"
"Fall","420","331,33180"
"Restart","424","331,34750"
"Fall","421","332,05170"
"Restart","425","332,06910"
"Fall","422","332,77560"
"Restart","426","332,79290"
"Fall","423","333,48860"
"Restart","427","333,50620"
"Fall","424","334,21220"
"Restart","428","334,22790"
"Fall","425","334,92650"
"Restart","429","334,94150"
"Fall","426","335,64860"
"Restart","430","335,66370"
"Fall","427","336,36580"
"Restart","431","336,38450"
"Fall","428","337,08640"
"Restart","432","337,10340"
"Fall","429","337,81010"
"Restart","433","337,82570"
"Fall","430","338,53030"
"Restart","434","338,54780"
"Fall","431","339,24530"
"Restart","435","339,26600"
"Fall","432","339,96550"
"Restart","436","339,98110"
"Fall","433","340,68460"
"Restart","437","340,70140"
"Fall","434","341,40680"
"Restart","438","341,42210"
"Fall","435","342,12980"
"Restart","439","342,14420"
"Fall","436","342,85060"
"Restart","440","342,86740"
"Fall","437","343,57520"
"Restart","441","343,59140"
"Fall","438","344,29710"
"Restart","442","344,31290"
"Fall","439","345,00160"
"Restart","443","345,01850"
"Fall","440","345,73600"
"Restart","444","345,75300"
"Fall","441","346,44870"
"Restart","445","346,46620"
"Fall","442","347,16120"
"Restart","446","347,17970"
"Fall","443","347,88480"
"Restart","447","347,90090"
"Fall","444","348,61100"
"Restart","448","348,63370"
"Fall","445","349,32340"
"Restart","449","349,34320"
"Fall","446","350,04320"
"Restart","450","350,05980"
"Fall","447","350,76020"
"Restart","451","350,78020"
"Fall","448","351,49510"
"Restart","452","351,51940"
"Fall","449","352,20960"
"Restart","453","352,23070"
"Fall","450","352,93370"
"Restart","454","352,95660"
"Fall","451","353,65050"
"Restart","455","353,66920"
"Fall","452","354,36980"
"Restart","456","354,38680"
"Fall","453","355,08460"
"Restart","457","355,11140"
"Fall","454","355,81710"
"Restart","458","355,83760"
"Fall","455","356,53150"
"Restart","459","356,55480"
"Fall","456","357,24930"
"Restart","460","357,26770"
"Fall","457","357,97090"
"Restart","461","357,99040"
"Fall","458","358,68450"
"Restart","462","358,70230"
"Fall","459","359,40470"
"Restart","463","359,42150"
"Fall","460","360,12290"
"Restart","464","360,14140"
"Fall","461","360,85400"
"Restart","465","360,87230"
"Fall","462","361,56950"
